,opprpg
3237,4.55336
2909,4.06809
23,3.93924
2759,4.64186
3306,3.4085
2887,5.01201
4426,4.28517
888,4.07777
5549,4.07185
4476,4.85895
2030,5.29365
1691,4.00514
623,4.07185
245,4.379049999999999
1037,4.0619
2267,4.6954
4317,4.67092
5036,4.92028
818,4.71718
3375,4.60824
1040,3.93924
2641,4.29243
385,4.92028
809,4.41052
4500,4.55336
884,4.13399
4564,4.10117
3096,4.71718
8,4.73359
4029,4.37905
3948,4.43662
2915,4.60824
4908,4.529618301886792
3673,4.07185
2775,4.05356
4658,4.77852
1973,4.08073
2449,4.3812
2890,4.44684
4671,4.21496
2789,4.86675
2377,4.57865
5329,4.57865
2565,4.07185
5262,4.02801
4026,4.09875
3216,4.6954
5537,4.49768
2928,4.21496
693,3.92041
4437,3.87468
4888,4.29862
2754,4.62384
920,4.15524
4529,3.97501
1519,4.50252
4754,4.58322
1694,3.87817
205,4.97381
186,4.304
3218,5.10078
2433,4.6954
1430,4.32283
1245,4.90387
3581,3.97501
3886,4.83016
1653,4.61604
175,4.481
1967,4.67092
2714,3.40823
3776,4.60824
5057,4.01509
5454,4.79788
3502,4.73279
3645,3.87817
4549,4.28947
1900,4.77852
4238,4.88558
1082,5.04133
1727,4.32902
3699,3.97959
5447,4.01509
4521,3.4085
1715,4.5001
588,4.00514
4679,4.09875
840,4.51678
1818,4.60824
3591,4.50252
3369,5.31786
3980,4.63299
4157,4.47535
3992,4.41052
2618,4.13641
3013,4.10467
5343,4.50252
2673,4.13641
3143,4.00514
4453,4.79788
3978,4.50252
4714,4.61604
4173,4.3812
3908,4.66123
3456,4.86675
1088,5.31786
173,5.31786
499,4.6954
1707,4.0619
3723,4.934
703,4.01509
2888,4.71718
2010,4.66123
1994,4.63541
4295,4.63299
2773,4.43662
1254,4.29862
1778,4.268948356164383
2823,4.44684
121,4.92028
2490,4.06809
4255,5.01201
4354,4.49768
552,4.21227
344,4.481
2315,5.2498
615,4.29862
1504,4.77852
2440,3.88302
3081,4.92028
4555,3.87817
3196,5.04133
1847,4.00514
1680,4.62384
2942,4.58322
4119,4.10467
3740,5.04133
4098,4.32337
1939,4.02801
1947,4.02801
4202,4.73279
2617,4.13399
4471,4.83016
4918,5.10078
901,4.16762
4055,4.67092
3873,5.29365
1180,4.85895
1815,4.63299
1355,4.44684
3330,4.50306
5196,4.57865
5095,4.05356
1768,5.04133
2422,4.07777
2834,4.6954
2791,4.15524
571,4.96224
4629,4.06809
3226,4.62384
621,4.70696
3883,5.29365
3758,4.962240000000001
5468,4.90387
2261,4.15524
3091,4.3812
2619,3.82357
1667,4.63756
4452,4.704
4685,4.44684
2127,4.92028
1004,3.46795
2246,4.64186
815,4.481
5182,4.63756
1954,5.29365
42,3.82357
486,4.63541
5161,4.67092
3763,4.00514
341,4.5235
62,3.87468
1890,4.63756
657,4.13641
4770,3.87737
5132,4.934
383,4.67092
4927,4.21227
1927,4.32337
1944,4.62384
2143,3.92041
675,4.920280000000001
1456,4.54341
1190,4.13265
1581,4.28947
5634,5.05048
590,4.01509
3289,4.01644
2602,4.44684
1288,4.57865
2711,3.93924
3298,4.54341
3566,4.15282
3709,5.2498
2279,4.07185
1873,3.87737
4599,4.73359
4666,4.95606
504,4.934
851,3.8623
2024,4.67092
4195,4.15282
4357,4.63756
4427,4.09875
3402,4.07185
4180,4.6954
2991,4.07185
222,4.58322
4615,4.50306
2385,4.88558
37,4.62384
3314,3.87817
4460,4.29862
4022,4.16762
5362,4.11785
4667,4.15524
5479,3.87737
5288,4.67092
1055,4.60824
1016,4.5001
2755,4.67092
3070,4.92028
2121,4.704
4823,4.32902
5099,4.21496
4959,4.48127
2356,4.58322
239,4.21227
5354,4.0619
3890,4.00514
4092,4.09875
4845,5.05048
937,4.47535
1201,4.481
3809,4.79788
1896,4.62384
5363,3.9750100000000006
3959,4.05356
3684,3.8623
4999,4.37905
717,3.87468
3211,4.41052
5503,4.49876
4061,4.44684
4258,4.00514
3186,4.72014
2558,4.22707
2231,4.15524
908,4.22707
3783,3.679650000000001
5047,4.05356
5497,4.69486
636,3.46795
5474,3.82357
628,4.63756
4466,4.96224
5247,4.73279
743,4.55336
140,3.8830200000000006
281,4.5235
4091,4.28517
4595,4.50252
1558,3.85934
5643,4.79788
918,4.32337
607,4.304
4931,4.64053
5106,4.11785
5186,4.43662
4187,3.87737
5153,4.57865
3263,4.79788
3643,4.489596212121213
5671,4.73359
5514,5.04133
4826,5.01201
2111,4.21496
2488,4.3812
5246,4.79788
437,4.69486
5007,5.10078
981,4.50898
1050,4.43662
987,4.62384
309,4.49876
1101,3.89996
2161,4.08073
1182,4.79788
4385,5.39802
671,5.04133
5596,4.16762
1298,4.5235
3117,4.48127
1487,4.64186
2712,3.8830200000000006
2813,4.63299
885,4.09875
5542,4.37905
368,4.900615918367347
4879,4.16762
