,runs_total_pg
3482,0.0033870967741936
2694,0.0166037735849057
166,0.0244736842105262
3849,-0.0509836065573771
4208,0.057025316455696
2194,0.176063829787234
1566,-0.0410077519379844
5191,0.0554362416107383
4584,0.0992617449664428
426,0.1331617647058824
1061,0.1036538461538458
4318,-0.0633333333333333
2885,0.0869934640522875
5351,-0.0144274809160307
3754,0.1011184210526316
624,0.2727083333333331
1735,0.0566165413533834
5520,-0.2072173913043476
2248,-0.1314563106796115
321,-0.06125
1772,-0.1505084745762712
3895,-0.211111111111111
1689,-0.1183221476510066
1955,0.0074782608695652
3500,0.1805696202531645
4143,-0.1613684210526313
1614,-0.1285815602836877
5412,0.2782876712328764
5328,0.0406306306306306
4949,-0.1306040268456374
1970,0.0177241379310345
3174,0.0027564102564105
1790,0.187593984962406
4885,0.0053600000000001
329,0.1378518518518518
860,0.2353061224489794
3988,0.0696103896103896
1216,0.0806962025316457
3014,0.1160185185185184
4250,0.0229487179487179
